dataset_trait,rep,PCC_v5,PCC_bio10,PCC_bio9,PCC_SVR,PCC_GBLUP,Delta_v5_minus_bio10,Delta_v5_minus_bio9,Delta_v5_minus_SVR,Delta_v5_minus_GBLUP,MSE_v5,MSE_bio10,MSE_bio9,MSE_SVR,MSE_GBLUP
LargeWhite_Pop1_BF,rep_01,0.4865376053989839,0.5169022834316362,0.5053044836594861,0.5283176352556783,,-0.03036467803265236,-0.018766878260502218,-0.041780029856694434,,8.352383504224504,209.5550159440071,224.3716868109974,7.670321160347916,
LargeWhite_Pop1_BF,rep_02,0.488606274888734,0.5034391052286282,0.5128201812175874,0.47805184752282726,,-0.014832830339894243,-0.02421390632885345,0.010554427365906727,,8.067179330138817,209.63007602714504,205.43082541064493,6.972336878820163,
LargeWhite_Pop1_BF,rep_03,0.4796005374538024,0.4892974728593714,0.5020668920666409,0.4565716239520806,,-0.00969693540556904,-0.022466354612838524,0.02302891350172176,,8.644967342349942,219.23330071227946,204.71501899076264,7.874532349102285,
LargeWhite_Pop1_BF,rep_04,0.5288438049858437,0.5495182605567583,0.5503532936212219,0.5402001139266746,,-0.02067445557091463,-0.02150948863537816,-0.01135630894083084,,7.800163415355188,199.9877120412766,215.48734561383458,7.162936839730039,
LargeWhite_Pop1_BF,rep_05,0.4561446920669558,0.5142219739541753,0.5150310450235283,0.504999991894493,,-0.058077281887219556,-0.05888635295657246,-0.04885529982753717,,8.480450148881912,212.30402040737144,216.59063980413472,7.304743884607621,
LargeWhite_Pop1_BF,rep_06,0.5009813389026234,0.5278565692624383,0.5218925214736722,0.5150981716916004,,-0.026875230359814872,-0.020911182571048736,-0.014116832788977018,,7.9043572327518135,195.3727497887847,209.1003072418968,6.9298560099203765,
LargeWhite_Pop1_BF,rep_07,0.48676452245709445,0.5671008882952429,0.5711828131120057,0.5482794267754728,,-0.0803363658381484,-0.08441829065491124,-0.06151490431837836,,8.939921096720491,198.6072200537738,212.3014831794721,7.915732497360757,
LargeWhite_Pop1_BF,rep_08,0.47340242372010866,0.5346167088383179,0.5253101536841187,0.5524510472370778,,-0.061214285118209255,-0.05190772996401005,-0.07904862351696917,,8.798616621340376,220.78453910231428,215.6752725087338,7.012753295367845,
LargeWhite_Pop1_BF,rep_09,0.48110796397156363,0.5264550928271102,0.5267422123582892,0.5405662012705357,,-0.04534712885554659,-0.045634248386725584,-0.05945823729897204,,8.662700185632746,219.56428961087184,239.2974530172897,7.538577397988892,
LargeWhite_Pop1_BF,rep_10,0.4533205274447633,0.49312934900858446,0.499114663623485,0.4958427055308444,,-0.03980882156382115,-0.04579413617872169,-0.04252217808608111,,8.427079779305434,220.39782030692317,212.64617062654509,7.552778388879666,
